2025-12-27 14:23:24-debug: start **** info
2025-12-27 14:23:24-log: Cannot access game frame or container.
2025-12-27 14:23:25-debug: asset-db:require-engine-code (406ms)
2025-12-27 14:23:25-log: meshopt wasm decoder initialized
2025-12-27 14:23:25-log: [bullet]:bullet wasm lib loaded.
2025-12-27 14:23:25-log: [box2d]:box2d wasm lib loaded.
2025-12-27 14:23:25-log: Using legacy pipeline
2025-12-27 14:23:25-log: Forward render pipeline initialized.
2025-12-27 14:23:25-log: Cocos Creator v3.8.6
2025-12-27 14:23:25-debug: [Assets Memory track]: asset-db:worker-init: initEngine start:30.87MB, end 80.00MB, increase: 49.14MB
2025-12-27 14:23:26-debug: [Assets Memory track]: asset-db-plugin-register: builder start:84.24MB, end 288.98MB, increase: 204.74MB
2025-12-27 14:23:26-debug: [Assets Memory track]: asset-db-plugin-register: project start:80.72MB, end 287.64MB, increase: 206.92MB
2025-12-27 14:23:25-debug: [Assets Memory track]: asset-db-plugin-register: programming start:80.86MB, end 84.21MB, increase: 3.35MB
2025-12-27 14:23:26-debug: [Assets Memory track]: asset-db:worker-init: initPlugin start:80.03MB, end 287.67MB, increase: 207.64MB
2025-12-27 14:23:26-debug: run package(harmonyos-next) handler(enable) start
2025-12-27 14:23:26-debug: run package(harmonyos-next) handler(enable) success!
2025-12-27 14:23:26-debug: run package(honor-mini-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(huawei-agc) handler(enable) start
2025-12-27 14:23:26-debug: run package(honor-mini-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(huawei-quick-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(huawei-agc) handler(enable) success!
2025-12-27 14:23:26-debug: run package(ios) handler(enable) start
2025-12-27 14:23:26-debug: run package(huawei-quick-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(linux) handler(enable) start
2025-12-27 14:23:26-debug: run package(ios) handler(enable) success!
2025-12-27 14:23:26-debug: run package(mac) handler(enable) success!
2025-12-27 14:23:26-debug: run package(linux) handler(enable) success!
2025-12-27 14:23:26-debug: run package(migu-mini-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(migu-mini-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(native) handler(enable) start
2025-12-27 14:23:26-debug: run package(native) handler(enable) success!
2025-12-27 14:23:26-debug: run package(mac) handler(enable) start
2025-12-27 14:23:26-debug: run package(ohos) handler(enable) start
2025-12-27 14:23:26-debug: run package(ohos) handler(enable) success!
2025-12-27 14:23:26-debug: run package(oppo-mini-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(runtime-dev-tools) handler(enable) success!
2025-12-27 14:23:26-debug: run package(runtime-dev-tools) handler(enable) start
2025-12-27 14:23:26-debug: run package(oppo-mini-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(taobao-mini-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(vivo-mini-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(vivo-mini-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(web-desktop) handler(enable) start
2025-12-27 14:23:26-debug: run package(web-desktop) handler(enable) success!
2025-12-27 14:23:26-debug: run package(web-mobile) handler(enable) start
2025-12-27 14:23:26-debug: run package(wechatgame) handler(enable) start
2025-12-27 14:23:26-debug: run package(wechatgame) handler(enable) success!
2025-12-27 14:23:26-debug: run package(taobao-mini-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(wechatprogram) handler(enable) start
2025-12-27 14:23:26-debug: run package(wechatprogram) handler(enable) success!
2025-12-27 14:23:26-debug: run package(web-mobile) handler(enable) success!
2025-12-27 14:23:26-debug: run package(windows) handler(enable) success!
2025-12-27 14:23:26-debug: run package(xiaomi-quick-game) handler(enable) start
2025-12-27 14:23:26-debug: run package(windows) handler(enable) start
2025-12-27 14:23:26-debug: run package(cocos-service) handler(enable) start
2025-12-27 14:23:26-debug: run package(cocos-service) handler(enable) success!
2025-12-27 14:23:26-debug: run package(xiaomi-quick-game) handler(enable) success!
2025-12-27 14:23:26-debug: run package(im-plugin) handler(enable) success!
2025-12-27 14:23:26-debug: run package(fix-asset-default-userdata) handler(enable) start
2025-12-27 14:23:26-debug: run package(fix-asset-default-userdata) handler(enable) success!
2025-12-27 14:23:26-debug: run package(placeholder) handler(enable) start
2025-12-27 14:23:26-debug: run package(im-plugin) handler(enable) start
2025-12-27 14:23:26-debug: asset-db:worker-init: initPlugin (1021ms)
2025-12-27 14:23:26-debug: run package(placeholder) handler(enable) success!
2025-12-27 14:23:26-debug: [Assets Memory track]: asset-db:worker-init start:30.86MB, end 289.84MB, increase: 258.98MB
2025-12-27 14:23:26-debug: Run asset db hook programming:beforePreStart ...
2025-12-27 14:23:26-debug: Run asset db hook programming:beforePreStart success!
2025-12-27 14:23:26-debug: Run asset db hook engine-extends:beforePreStart success!
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunksbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: Run asset db hook engine-extends:beforePreStart ...
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_cubemapbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default-terrainbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_fontsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_file_contentbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_materialsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_prefabbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_renderpipelinebackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_uibackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_skyboxbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\dependenciesbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\gizmobackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\physicsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: asset-db:worker-init (1527ms)
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\toolsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: asset-db-hook-programming-beforePreStart (33ms)
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\effectsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: asset-db-hook-engine-extends-beforePreStart (33ms)
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\builtinbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\commonbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\legacybackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\post-processbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\lighting-modelsbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\shading-entriesbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\chunks\surfacesbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_file_content\animation-clipbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_file_content\animation-graph-variantbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_file_content\animation-graphbackground: #aaff85; color: #000;color: #000;
2025-12-27 14:23:26-debug: %cImport%c: C:\ProgramData\cocos\editors\Creator\3.8.6\resources\resources\3d\engine\editor\assets\default_file_content\animation-maskbackground: #aaff85; color: #000;color: #000;
